Planning,Execution,Tipo
0.062,12.696,senza
0.061,24.524,senza
0.413,18.576,senza
0.061,13.226,senza
0.044,12.538,senza
0.045,13.635,senza
0.044,12.948,senza
0.046,14.066,senza
0.042,13.172,senza
0.078,14.444,senza
0.047,12.952,senza
0.060,13.294,senza
0.063,14.117,senza
0.043,13.096,senza
0.048,12.816,senza
0.048,12.505,senza
0.041,13.358,senza
0.043,12.953,senza
0.048,12.140,senza
0.040,13.777,senza
0.038,13.520,senza
0.042,13.117,senza
0.043,12.656,senza
0.047,12.873,senza
0.047,14.649,senza
0.045,12.394,senza
0.062,13.650,senza
0.036,14.304,senza
0.048,13.903,senza
0.043,12.818,senza
0.057,13.042,senza
0.044,12.866,senza
0.045,12.950,senza
0.042,13.043,senza
0.043,12.931,senza
0.044,12.791,senza
0.041,12.826,senza
0.041,12.570,senza
0.053,12.885,senza
0.042,12.785,senza
0.040,12.287,senza
0.042,13.194,senza
0.042,13.472,senza
0.041,13.005,senza
0.045,13.719,senza
0.041,13.554,senza
0.043,14.213,senza
0.042,12.662,senza
0.045,13.483,senza
0.046,13.247,senza
0.042,0.046,con
0.025,0.037,con
0.039,0.061,con
0.046,0.057,con
0.044,0.038,con
0.035,0.052,con
0.040,0.048,con
0.043,0.049,con
0.060,0.065,con
0.038,0.047,con
0.042,0.051,con
0.045,0.041,con
0.034,0.046,con
0.031,0.042,con
0.041,0.036,con
0.028,0.038,con
0.035,0.046,con
0.043,0.039,con
0.041,0.037,con
0.026,0.036,con
0.044,0.059,con
0.029,0.043,con
0.063,0.090,con
0.024,0.037,con
0.026,0.035,con
0.036,0.047,con
0.037,0.074,con
0.028,0.038,con
0.028,0.038,con
0.032,0.044,con
0.029,0.040,con
0.039,0.048,con
0.046,0.041,con
0.095,0.063,con
0.026,0.036,con
0.055,0.063,con
0.044,0.038,con
0.028,0.036,con
0.039,0.060,con
0.057,0.084,con
0.051,0.045,con
0.054,0.066,con
0.049,0.067,con
0.046,0.058,con
0.047,0.059,con
0.027,0.036,con
0.033,0.156,con
0.048,0.059,con
0.037,0.051,con
0.064,0.078,con
