Planning,Execution,Tipo
0.032,0.351,senza
0.060,0.287,senza
0.048,0.246,senza
0.037,0.170,senza
0.031,0.219,senza
0.028,0.141,senza
0.033,0.147,senza
0.027,0.134,senza
0.027,0.133,senza
0.027,0.160,senza
0.039,0.178,senza
0.033,0.227,senza
0.028,0.182,senza
0.030,0.137,senza
0.028,0.205,senza
0.080,0.249,senza
0.038,0.139,senza
0.037,0.187,senza
0.047,0.258,senza
0.032,0.156,senza
0.032,0.149,senza
0.043,0.132,senza
0.030,0.148,senza
0.034,0.163,senza
0.076,0.471,senza
0.028,0.138,senza
0.074,0.225,senza
0.049,0.324,senza
0.056,0.190,senza
0.062,0.209,senza
0.080,0.245,senza
0.035,0.165,senza
0.027,0.157,senza
0.028,0.132,senza
0.065,0.315,senza
0.057,0.191,senza
0.029,0.228,senza
0.038,0.142,senza
0.062,0.247,senza
0.028,0.150,senza
0.066,0.368,senza
0.033,0.207,senza
0.034,0.226,senza
0.027,0.224,senza
0.044,0.152,senza
0.026,0.131,senza
0.028,0.133,senza
0.029,0.157,senza
0.046,0.227,senza
0.059,0.217,senza
0.031,0.187,con
0.035,0.238,con
0.029,0.134,con
0.078,0.295,con
0.053,0.245,con
0.028,0.149,con
0.028,0.132,con
0.029,0.132,con
0.033,0.153,con
0.031,0.154,con
0.029,0.170,con
0.059,0.217,con
0.034,0.134,con
0.029,0.138,con
0.029,0.137,con
0.032,0.240,con
0.055,0.200,con
0.039,0.180,con
0.031,0.142,con
0.033,0.155,con
0.029,0.133,con
0.028,0.163,con
0.055,0.175,con
0.035,0.149,con
0.041,0.163,con
0.045,0.131,con
0.030,0.133,con
0.033,0.153,con
0.036,0.178,con
0.064,0.233,con
0.045,0.170,con
0.057,0.238,con
0.068,0.266,con
0.054,0.216,con
0.077,0.376,con
0.051,0.208,con
0.056,0.211,con
0.053,0.322,con
0.042,0.189,con
0.054,0.189,con
0.033,0.177,con
0.034,0.138,con
0.039,0.179,con
0.041,0.170,con
0.038,0.161,con
0.031,0.133,con
0.032,0.151,con
0.035,0.144,con
0.034,0.216,con
0.030,0.137,con
