Planning,Execution,Tipo
0.043,12.897,senza
0.056,12.058,senza
0.044,12.548,senza
0.046,13.336,senza
0.048,13.105,senza
0.044,11.490,senza
0.047,14.510,senza
0.062,19.816,senza
0.047,12.892,senza
0.046,12.581,senza
0.046,12.343,senza
0.048,12.893,senza
0.048,11.667,senza
0.041,12.688,senza
0.044,12.468,senza
0.042,11.733,senza
0.044,11.276,senza
0.042,11.326,senza
0.042,11.205,senza
0.042,11.536,senza
0.046,11.529,senza
0.044,11.602,senza
0.047,12.184,senza
0.047,11.938,senza
0.044,11.719,senza
0.044,11.806,senza
0.066,13.281,senza
0.046,12.417,senza
0.054,12.981,senza
0.044,11.667,senza
0.075,12.504,senza
0.043,12.676,senza
0.044,12.154,senza
0.047,14.900,senza
0.051,16.153,senza
0.053,13.379,senza
0.058,13.122,senza
0.043,12.436,senza
0.044,11.883,senza
0.044,11.921,senza
0.067,13.741,senza
0.043,12.835,senza
0.048,12.492,senza
0.054,12.083,senza
0.044,11.749,senza
0.051,11.965,senza
0.044,12.670,senza
0.046,12.027,senza
0.048,11.909,senza
0.055,13.019,senza
0.068,0.042,con
0.050,0.029,con
0.044,0.025,con
0.038,0.024,con
0.049,0.031,con
0.058,0.024,con
0.053,0.026,con
0.068,0.041,con
0.047,0.024,con
0.078,0.046,con
0.049,0.025,con
0.038,0.023,con
0.063,0.025,con
0.046,0.028,con
0.048,0.029,con
0.037,0.023,con
0.042,0.024,con
0.039,0.024,con
0.071,0.026,con
0.066,0.038,con
0.037,0.023,con
0.050,0.032,con
0.051,0.026,con
0.066,0.057,con
0.049,0.033,con
0.070,0.041,con
0.075,0.033,con
0.048,0.029,con
0.047,0.032,con
0.053,0.026,con
0.190,0.025,con
0.057,0.024,con
0.039,0.036,con
0.041,0.025,con
0.058,0.024,con
0.041,0.025,con
0.070,0.025,con
0.069,0.032,con
0.039,0.024,con
0.070,0.025,con
0.061,0.039,con
0.078,0.047,con
0.061,0.036,con
0.070,0.045,con
0.050,0.027,con
0.038,0.023,con
0.050,0.025,con
0.057,0.033,con
0.049,0.028,con
0.037,0.022,con
