Planning,Execution,Tipo
0.016,0.192,senza
0.011,0.171,senza
0.010,0.126,senza
0.014,0.113,senza
0.012,0.178,senza
0.014,0.153,senza
0.014,0.089,senza
0.013,0.079,senza
0.013,0.074,senza
0.013,0.072,senza
0.011,0.064,senza
0.012,0.071,senza
0.015,0.083,senza
0.009,0.062,senza
0.013,0.095,senza
0.010,0.069,senza
0.020,0.098,senza
0.012,0.072,senza
0.009,0.064,senza
0.009,0.063,senza
0.022,0.127,senza
0.011,0.066,senza
0.018,0.080,senza
0.010,0.066,senza
0.013,0.081,senza
0.015,0.123,senza
0.021,0.111,senza
0.010,0.119,senza
0.010,0.065,senza
0.011,0.077,senza
0.013,0.067,senza
0.009,0.113,senza
0.026,0.155,senza
0.018,0.111,senza
0.018,0.118,senza
0.035,0.315,senza
0.026,0.218,senza
0.023,0.101,senza
0.014,0.075,senza
0.021,0.194,senza
0.016,0.075,senza
0.016,0.084,senza
0.018,0.107,senza
0.018,0.084,senza
0.021,0.117,senza
0.016,0.081,senza
0.013,0.069,senza
0.009,0.060,senza
0.012,0.078,senza
0.010,0.062,senza
0.019,0.094,con
0.009,0.064,con
0.012,0.076,con
0.010,0.066,con
0.022,0.122,con
0.015,0.097,con
0.017,0.092,con
0.017,0.085,con
0.011,0.067,con
0.011,0.072,con
0.009,0.063,con
0.013,0.107,con
0.011,0.085,con
0.009,0.066,con
0.010,0.066,con
0.010,0.066,con
0.023,0.129,con
0.009,0.106,con
0.012,0.080,con
0.012,0.084,con
0.011,0.077,con
0.011,0.079,con
0.010,0.064,con
0.021,0.181,con
0.016,0.119,con
0.023,0.096,con
0.024,0.208,con
0.012,0.084,con
0.011,0.078,con
0.012,0.087,con
0.012,0.082,con
0.012,0.080,con
0.013,0.080,con
0.012,0.082,con
0.011,0.077,con
0.012,0.116,con
0.012,0.079,con
0.012,0.080,con
0.016,0.105,con
0.010,0.069,con
0.023,0.131,con
0.031,0.237,con
0.026,0.125,con
0.010,0.087,con
0.015,0.090,con
0.012,0.071,con
0.012,0.082,con
0.010,0.074,con
0.026,0.084,con
0.014,0.089,con
